transcript,ticker,event_date,sentiment_index,close_before,close_after,close_before_date,close_after_date,price_change_pct,price_up,benchmark_return,abnormal_return,CAR
NFLX_2024_Q4_20250121,NFLX,2025-01-21,0.953391427615077,858.0999755859375,953.989990234375,2025-01-17,2025-01-22,0.11174690289783636,1,0.014959987493038117,0.09678691540479824,-0.6148347932008223
NVDA_2019_Q3_20191114,NVDA,2019-11-14,0.657169910710993,5.214250087738037,5.104750156402588,2019-11-13,2019-11-15,-0.021000130314606895,0,0.008538972198629105,-0.029539102513236,-0.6443738957140583
NVDA_2019_Q4_20190214,NVDA,2019-02-14,0.4465216796840381,3.822000026702881,3.933500051498413,2019-02-13,2019-02-15,0.029173214028394394,1,0.00819826450100125,0.020974949527393143,-0.6233989461866652
NVDA_2020_Q1_20190516,NVDA,2019-05-16,0.5154580210940318,3.989500045776367,3.913249969482422,2019-05-15,2019-05-17,-0.01911268966512992,0,0.003006029013664874,-0.022118718678794794,-0.64551766486546
NVDA_2020_Q2_20190816,NVDA,2019-08-16,0.7394972693468954,3.719249963760376,4.269499778747559,2019-08-15,2019-08-19,0.14794644628586576,1,0.026706630874922945,0.12123981541094281,-0.5242778494545173
NVDA_2020_Q3_20191114,NVDA,2019-11-14,0.657169910710993,5.214250087738037,5.104750156402588,2019-11-13,2019-11-15,-0.021000130314606895,0,0.008538972198629105,-0.029539102513236,-0.5538169519677533
NVDA_2020_Q4_20200213,NVDA,2020-02-13,0.7735797991772332,6.813499927520752,7.244750022888184,2020-02-12,2020-02-14,0.06329347618036181,1,0.00021008180258855747,0.06308339437777326,-0.49073355758998
NVDA_2021_Q1_20200521,NVDA,2020-05-21,0.8607964721654903,8.970000267028809,9.026249885559082,2020-05-20,2020-05-22,0.006270860296072807,1,-0.005438181883161083,0.011709042179233891,-0.4790245154107461
NVDA_2021_Q2_20200819,NVDA,2020-08-19,0.631706810959084,12.260749816894531,12.140999794006348,2020-08-18,2020-08-20,-0.009766941229253019,0,-0.0012596745199822622,-0.008507266709270756,-0.48753178212001685
NVDA_2021_Q3_20201120,NVDA,2020-11-20,0.7547428996534888,13.440250396728516,13.140000343322754,2020-11-19,2020-11-23,-0.022339617532635064,0,-0.0011949147112670009,-0.02114470282136806,-0.508676484941385
NVDA_2021_Q4_20210224,NVDA,2021-02-24,0.9028236819104067,14.142000198364258,13.307499885559082,2021-02-23,2021-02-25,-0.05900864807664893,0,-0.01340506772762417,-0.04560358034902476,-0.5542800652904097
NVDA_2022_Q1_20210526,NVDA,2021-05-26,0.9190129939840521,15.647749900817871,15.48799991607666,2021-05-25,2021-05-27,-0.01020913458828104,0,0.003044318193741846,-0.013253452782022886,-0.5675335180724326
